cn	A1Z746
Dhod	P32748
dib	Q9NGX9
Gdh	P54385
Got1	Q7K221
Got2	Q8IPY3
Hsp22	P02515
CIAPIN1	Q9V3Y2
ND-B17	Q9V3W2
mRpL4	Q9V3D0
l(2)37Bb	Q9VJ10
l(2)37Cc	A0A023GQA5
CG5504	Q27237
l(3)87Df	Q9VG00
pn	O18399
sad	Q9VGH1
sesB	Q26365
shd	Q9VUF8
shi	P27619
slgA	Q04499
tko	P10735
porin	Q94920
tam	Q27607
Sod2	Q00637
ATPsynbeta	Q05825
Nc73EF	Q9VVC5
mtSSB	P54622
wal	Q7KN94
Phb2	Q0E924
ATPsynG	Q9VKM3
Chchd3	Q9VA18
blw	P35381
ox	Q9XY35
Hsp60B	Q9VPS5
ND-SGDH	Q9VTU2
l(3)neo43	Q9VF98
fzo	O18412
rpr	Q24475
Fdx1	P37193
mRpL12	Q9VSR5
Aldh	Q9VLC5
mt:ATPase6	P00850
mt:ATPase8	P84345
mt:CoI	P00399
mt:CoII	P00408
mt:CoIII	P00417
mt:Cyt-b	P18935
mt:ND1	P18929
mt:ND2	P03896
mt:ND3	P18930
mt:ND4L	P18934
mt:ND5	P18932
mt:ND6	P18933
mRpL47	Q8T3V6
SdhB	P21914
sun	Q9VXN2
Roe1	P48604
cype	Q9VMS1
Hsp60A	O02649
dare	Q9V3T9
Tom40	Q9U4L6
ATPsynCF6	Q24407
ATPsynD	Q24251
ATPsynO	Q24439
Pdk	P91622
ND-75	Q94511
ND-23	Q9VF27
COX5A	Q94514
ATPsynB	Q94516
dj	O01352
colt	Q9VQG4
ND-42	P91929
Mitofilin	P91928
Ppox	Q9VC52
ATPsyngamma	O01666
Alas	O18680
scu	O18404
RFeSP	Q9VQ29
Coprox	Q9V3D2
ND-PDSW	Q9VQR2
Gpo1	Q7K569
Oat	Q9VW26
Pgam5	O46084
mRpL16	Q9W547
CG3156	Q8SWW9
waw	Q9VRH6
Ant2	O62526
Mtpbeta	Q9W1H8
Mgstl	Q8SY70
ND-B14.5A	O97418
CG14817	Q9W551
bonsai	Q8WTC1
Mpcp2	Q0E8E8
Taz	Q9V6G5
mRpL18	Q7JVK1
Trap1	A1Z6L9
MetRS-m	Q9VFL5
LeuRS-m	Q9VZ82
Tim9b	Q9Y0V3
Tim8	Q9Y1A3
Tim10	Q9W2D6
mino	Q9Y137
PCB	Q0E9E2
OXA1L	Q9Y171
NP15.6	Q9V3L7
Pdha	Q7YU05
ATPsyndelta	Q9W2X6
heix	Q9V3R8
Mtpalpha	Q9V397
mTTF	Q9V3F3
aralar1	Q9VA73
mRpL50	Q9V3E3
Surf1	Q9U4F3
Debcl	Q9V9C8
slmo	Q9V3U9
Coq7	Q9W3W4
Coa8	Q9W549
CG16781	M9PDP1
CG3626	Q9W4K8
mRpL30	Q9W4I3
CG7024	Q9W4H4
Sirt4	Q8IRR5
Usp30	Q9W462
mldr	Q9W413
ND-B16.6	Q9W402
Marf	Q7YU24
ND-ASHI	Q9W3X7
