#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Antp	Dfd	3229473	3229461	FBpp0081161	FBpp0081138	0	0	0	0.692	0.056	0.999	0	0.914	0.999
usp	EcR	3237683	3235496	FBpp0305937	FBpp0291631	0	0	0	0.622	0.050	0.997	0.900	0.986	0.999
kay	Jra	3234489	3232726	FBpp0288515	FBpp0087498	0	0	0	0	0.121	0.980	0.900	0.960	0.999
Clk	cyc	3233515	3226217	FBpp0099478	FBpp0074693	0	0	0	0.666	0.056	0.972	0.900	0.977	0.998
Mad	Med	3237271	3231597	FBpp0304648	FBpp0085176	0	0	0	0.729	0.053	0.948	0.900	0.975	0.996
CG9305	Tbp	3228919	3224643	FBpp0080050	FBpp0071596	0	0	0	0	0.056	0.755	0.900	0.829	0.995
Med	Smox	3231597	3224411	FBpp0085176	FBpp0071140	0	0	0	0.760	0.053	0.946	0.900	0.984	0.995
vri	cyc	3228239	3226217	FBpp0078706	FBpp0074693	0	0	0	0	0.182	0.100	0.900	0.932	0.994
nmo	pan	3237518	3233954	FBpp0305425	FBpp0111569	0	0	0	0	0.049	0.585	0.900	0.863	0.993
da	nau	3237227	3230900	FBpp0304504	FBpp0083863	0	0	0	0	0	0.851	0.900	0.611	0.993
Dif	Rel	3235257	3233097	FBpp0290792	FBpp0088375	0	0	0	0.586	0.053	0.902	0.900	0.915	0.993
Clk	vri	3233515	3228239	FBpp0099478	FBpp0078706	0	0	0	0	0.044	0.100	0.900	0.909	0.991
Mef2	nau	3232741	3230900	FBpp0087529	FBpp0083863	0	0	0	0	0.050	0.140	0.900	0.910	0.991
Pdp1	cyc	3227125	3226217	FBpp0076495	FBpp0074693	0	0	0	0	0.044	0.248	0.900	0.888	0.990
CG4318	D	3235287	3226619	FBpp0290904	FBpp0075488	0	0	0	0	0	0.989	0	0.046	0.989
CG15514	CG14655	3231439	3228158	FBpp0084889	FBpp0078521	0	0	0	0	0	0.989	0	0	0.989
lms	D	3231761	3226619	FBpp0085536	FBpp0075488	0	0	0	0	0.048	0.989	0	0.055	0.989
cnc	maf-S	3236309	3231765	FBpp0297671	FBpp0085544	0	0	0	0	0.046	0.636	0.900	0.745	0.989
Su(H)	N	3229031	3224059	FBpp0080261	FBpp0070483	0	0	0	0.549	0.060	0.904	0.800	0.974	0.989
lms	CG14655	3231761	3228158	FBpp0085536	FBpp0078521	0	0	0	0	0	0.989	0	0	0.989
cwo	cyc	3229768	3226217	FBpp0081723	FBpp0074693	0	0	0	0	0	0.152	0.900	0.862	0.987
da	sc	3237227	3223853	FBpp0304504	FBpp0070072	0	0	0	0	0.050	0.870	0	0.910	0.987
Clk	Pdp1	3233515	3227125	FBpp0099478	FBpp0076495	0	0	0	0	0.047	0.100	0.900	0.859	0.986
da	ac	3237227	3223852	FBpp0304504	FBpp0070071	0	0	0	0	0.110	0.893	0	0.856	0.985
tin	pnr	3230690	3230268	FBpp0083485	FBpp0082675	0	0	0	0	0	0.804	0	0.921	0.984
foxo	Med	3236007	3231597	FBpp0293589	FBpp0085176	0	0	0	0	0	0.135	0.900	0.835	0.984
Mio	bigmax	3235226	3231255	FBpp0290673	FBpp0084543	0	0	0	0.647	0	0.780	0.900	0.954	0.984
Mnt	Max	3235327	3226257	FBpp0291035	FBpp0074785	0	0	0	0	0	0.818	0	0.916	0.984
Rel	dl	3233097	3229170	FBpp0088375	FBpp0080560	0	0	0	0.584	0.102	0.759	0.900	0.644	0.982
Kr	kni	3237497	3227870	FBpp0305365	FBpp0077941	0	0	0	0	0	0.789	0	0.915	0.981
Dll	hth	3234768	3229770	FBpp0289353	FBpp0081732	0	0	0	0	0.062	0.801	0	0.904	0.980
Abd-B	hth	3230343	3229770	FBpp0082826	FBpp0081732	0	0	0	0	0.046	0.801	0	0.901	0.979
en	hth	3232592	3229770	FBpp0087197	FBpp0081732	0	0	0	0	0.069	0.954	0	0.570	0.979
Jra	Atf3	3232726	3223936	FBpp0087498	FBpp0070234	0	0	0	0.597	0.850	0.779	0	0.945	0.978
Stat92E	Jra	3233119	3232726	FBpp0088489	FBpp0087498	0	0	0	0	0	0.500	0.900	0.548	0.975
fkh	grn	3234823	3234744	FBpp0289487	FBpp0289317	0	0	0	0	0.050	0.237	0.900	0.680	0.973
pho	z	3233074	3224027	FBpp0088268	FBpp0070419	0	0	0	0	0	0	0.900	0.749	0.973
Rel	Jra	3233097	3232726	FBpp0088375	FBpp0087498	0	0	0	0	0.110	0.050	0.900	0.715	0.972
da	Mef2	3237227	3232741	FBpp0304504	FBpp0087529	0	0	0	0	0.051	0.492	0.900	0.484	0.971
Mad	Dad	3237271	3230349	FBpp0304648	FBpp0082834	0	0	0	0.597	0	0.530	0.900	0.857	0.967
ftz	slp1	3229462	3227473	FBpp0081139	FBpp0077188	0	0	0	0	0	0.781	0	0.850	0.966
sc	ac	3223853	3223852	FBpp0070072	FBpp0070071	0	0	0	0.801	0.109	0.954	0	0.965	0.965
Stat92E	Rel	3233119	3233097	FBpp0088489	FBpp0088375	0	0	0	0	0.042	0.122	0.900	0.627	0.964
foxo	Smox	3236007	3224411	FBpp0293589	FBpp0071140	0	0	0	0	0	0.163	0.900	0.604	0.964
Tbp	NC2alpha	3224643	3224634	FBpp0071596	FBpp0071583	0	0	0	0	0.088	0.778	0	0.827	0.962
ftz	ftz-f1	3229462	3226294	FBpp0081139	FBpp0074853	0	0	0	0	0.043	0.789	0	0.826	0.961
hth	Antp	3229770	3229473	FBpp0081732	FBpp0081161	0	0	0	0	0.050	0.477	0	0.928	0.961
hb	bcd	3229620	3229474	FBpp0081431	FBpp0081168	0	0	0	0	0.145	0.480	0	0.915	0.958
hb	kni	3229620	3227870	FBpp0081431	FBpp0077941	0	0	0	0	0	0.476	0	0.921	0.957
Myb	Dp	3233299	3232414	FBpp0089402	FBpp0086853	0	0	0	0	0.057	0.311	0.900	0.406	0.956
Mef2	pnr	3232741	3230268	FBpp0087529	FBpp0082675	0	0	0	0	0.046	0.331	0	0.937	0.956
repo	gcm	3230433	3228605	FBpp0082986	FBpp0079451	0	0	0	0	0.047	0.476	0	0.918	0.955
foxo	schlank	3236007	3224286	FBpp0293589	FBpp0070899	0	0	0	0	0.047	0.058	0	0.952	0.954
grn	pho	3234744	3233074	FBpp0289317	FBpp0088268	0	0	0	0	0	0.067	0.900	0.538	0.953
pan	Med	3233954	3231597	FBpp0111569	FBpp0085176	0	0	0	0	0	0.102	0.800	0.759	0.953
Clk	cwo	3233515	3229768	FBpp0099478	FBpp0081723	0	0	0	0	0	0.152	0.900	0.483	0.952
Dif	dl	3235257	3229170	FBpp0290792	FBpp0080560	0	0	0	0.841	0.090	0.476	0.900	0.540	0.952
Ubx	hth	3230325	3229770	FBpp0082793	FBpp0081732	0	0	0	0	0	0.491	0	0.908	0.951
Mef2	tin	3232741	3230690	FBpp0087529	FBpp0083485	0	0	0	0	0.047	0.160	0	0.941	0.949
hng2	hng1	3229608	3224595	FBpp0081402	FBpp0071502	0	0	0	0	0	0.428	0	0.915	0.949
ftz	prd	3229462	3228836	FBpp0081139	FBpp0079882	0	0	0	0	0	0.799	0	0.751	0.948
ewg	TFAM	3236529	3230635	FBpp0300529	FBpp0083356	0	0	0	0	0.045	0	0	0.947	0.948
EcR	br	3235496	3234909	FBpp0291631	FBpp0289656	0	0	0	0	0.090	0	0	0.943	0.947
fkh	pho	3234823	3233074	FBpp0289487	FBpp0088268	0	0	0	0	0	0.100	0.900	0.449	0.946
pan	run	3233954	3227366	FBpp0111569	FBpp0076971	0	0	0	0	0	0.100	0.900	0.438	0.945
Med	run	3231597	3227366	FBpp0085176	FBpp0076971	0	0	0	0	0	0.115	0.900	0.423	0.944
Eip75B	Eip74EF	3236322	3233573	FBpp0297726	FBpp0099825	0	0	0	0	0.371	0.058	0	0.914	0.944
Mad	shn	3237271	3233266	FBpp0304648	FBpp0089118	0	0	0	0	0.073	0.777	0	0.744	0.942
abd-A	hth	3230344	3229770	FBpp0082829	FBpp0081732	0	0	0	0	0.047	0.477	0	0.893	0.942
pnr	tup	3230268	3229221	FBpp0082675	FBpp0080661	0	0	0	0	0.053	0.627	0	0.847	0.941
fkh	phol	3234823	3226979	FBpp0289487	FBpp0076203	0	0	0	0	0	0.100	0.900	0.400	0.941
dm	Max	3237064	3226257	FBpp0303995	FBpp0074785	0	0	0	0	0	0.791	0	0.724	0.940
kay	Stat92E	3234489	3233119	FBpp0288515	FBpp0088489	0	0	0	0	0	0.136	0.900	0.365	0.940
fru	hb	3235189	3229620	FBpp0290499	FBpp0081431	0	0	0	0	0	0.428	0	0.899	0.940
kay	Rel	3234489	3233097	FBpp0288515	FBpp0088375	0	0	0	0	0	0.058	0.900	0.394	0.937
grn	Tbp	3234744	3224643	FBpp0289317	FBpp0071596	0	0	0	0	0.047	0.116	0.900	0.286	0.931
tll	hkb	3231532	3228182	FBpp0085071	FBpp0078591	0	0	0	0	0.107	0.102	0	0.919	0.930
pnt	sv	3233173	3233094	FBpp0088658	FBpp0088366	0	0	0	0	0	0.880	0	0.426	0.928
eve	hb	3232718	3229620	FBpp0087478	FBpp0081431	0	0	0	0	0	0.047	0	0.925	0.926
